"","aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
"69"," ","강남자곡아이파크",2014," "," "," ","160,000",19,1,2021," "," ",74.97,14,"602","N"," ",11680," ","자곡동"
"70"," ","디에이치포레센트",2021," "," "," ","318,000",24,1,2021," "," ",101.94,11,"742","N"," ",11680," ","일원동"
"71"," ","래미안포레",2014," "," "," ","183,000",23,1,2021," "," ",101.51,8,"687","N"," ",11680," ","자곡동"
"72"," ","강남자곡아이파크",2014," "," "," ","163,000",23,1,2021," "," ",74.89,12,"602","N"," ",11680," ","자곡동"
"73"," ","삼성래미안",2001," "," "," ","312,000",30,1,2021," "," ",122.81,16,"91-5","N"," ",11680," ","도곡동"
"74"," ","신동아",1992," "," "," ","93,000",22,1,2021," "," ",33.18,10,"736","N"," ",11680," ","수서동"
"75"," ","아카데미스위트1",2004," "," "," ","185,000",19,1,2021," "," ",128.74,41,"467-7","N"," ",11680," ","도곡동"
"76"," ","도곡렉슬",2006," "," "," ","230,000",19,1,2021," "," ",59.9818,11,"527","N"," ",11680," ","도곡동"
"77"," ","아카데미스위트1",2004," "," "," ","183,000",20,1,2021," "," ",128.74,36,"467-7","N"," ",11680," ","도곡동"
"78"," ","삼성",1997," "," "," ","179,000",29,1,2021," "," ",84.97,2,"747","N"," ",11680," ","수서동"
"79"," ","타워팰리스1",2002," "," "," ","350,000",29,1,2021," "," ",164.95,44,"467","N"," ",11680," ","도곡동"
"80"," ","SK허브프리모",2006," "," "," ","40,000",26,1,2021," "," ",33.8,15,"953-1","N"," ",11680," ","도곡동"
"81"," ","성원대치2단지아파트",1992," "," "," ","133,000",26,1,2021," "," ",39.53,15,"12","N"," ",11680," ","개포동"
"82"," ","우민",2002," "," "," ","116,000",19,1,2021," "," ",74.758,5,"107-44","N"," ",11680," ","논현동"
"83"," ","역삼래미안",2005," ","21.02.25","O","198,000",30,1,2021," "," ",59.4,13,"757","N"," ",11680," ","역삼동"
"84"," ","까치마을",1993," "," "," ","100,700",26,1,2021," "," ",39.6,7,"746","N"," ",11680," ","수서동"
"85"," ","래미안그레이튼(진달래2차)",2010," "," "," ","208,000",27,1,2021," "," ",59.78,23,"762-3","N"," ",11680," ","역삼동"
"86"," ","은마",1979," "," "," ","242,000",26,1,2021," "," ",84.43,9,"316","N"," ",11680," ","대치동"
"87"," ","현대힐스테이트2단지",2008," "," "," ","255,000",21,1,2021," "," ",84.679,4,"50","N"," ",11680," ","삼성동"
"88"," ","삼성",1997," "," "," ","186,500",29,1,2021," "," ",84.97,13,"747","N"," ",11680," ","수서동"
"89"," ","현대13차(208~211동)",1983," "," "," ","310,000",26,1,2021," "," ",108.47,2,"448","N"," ",11680," ","압구정동"
"90"," ","미성2차",1987," "," "," ","346,000",21,1,2021," "," ",140.9,5,"397","N"," ",11680," ","압구정동"
"91"," ","개포자이",2004," "," "," ","270,000",30,1,2021," "," ",170.32,19,"12-2","N"," ",11680," ","개포동"
"92"," ","삼성",1994," "," "," ","176,000",18,1,2021," "," ",73.41,2,"161","N"," ",11680," ","도곡동"
"93"," ","채널리저브",2007," "," "," ","165,000",22,1,2021," "," ",84.97,12,"144-14","N"," ",11680," ","삼성동"
"94"," ","한양4",1978," "," "," ","527,000",25,1,2021," "," ",208.65,9,"486","N"," ",11680," ","압구정동"
"95"," ","대우리츠카운티",2001," "," "," ","315,000",19,1,2021," "," ",211.72,3,"117-22","N"," ",11680," ","청담동"
"96"," ","대우디오빌플러스",2004," "," "," ","43,500",21,1,2021," "," ",43.99,11,"824-25","N"," ",11680," ","역삼동"
"97"," ","청담자이",2011," "," "," ","179,500",18,1,2021," "," ",49.618,35,"134-38","N"," ",11680," ","청담동"
"98"," ","강남자곡아이파크",2014," "," "," ","179,500",20,1,2021," "," ",84.92,3,"602","N"," ",11680," ","자곡동"
"99"," ","푸른마을아파트101동~111동",1994," "," "," ","185,000",23,1,2021," "," ",84.93,14,"719","N"," ",11680," ","일원동"
"100"," ","한양1차(영동한양)",1977," "," "," ","245,000",30,1,2021," "," ",78.05,1,"490","N"," ",11680," ","압구정동"
