mesh-id,category
A000152,Interferon alpha
A000153,Myelosuppressive Agents
A000154,Agents that produce hypertension
D050034,Antidiuretic Agents
D001127,Arginine Vasopressin
D003029,Coagulants
A000155,Drugs that are Mainly Renally Excreted
A000156,Factor VIII Activator
A000157,Increased Coagulation Factor VIII Activity
A000158,Increased Coagulation Factor VIII Concentration
D045283,Natriuretic Agents
A000159,Pituitary
A000160,Pituitary and Hypothalamic Hormones and Analogues
D010909,"Pituitary Hormones, Posterior"
A000161,Posterior Pituitary Lobe Hormones
A000162,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
A000163,Vasopressin Analog
A000164,Vasopressin and Analogues
D014667,Vasopressins
A000165,Blood and Blood Forming Organs
D005167,Factor VII
A000166,"Factor VIIa, antagonists & inhibitors"
A000167,Increased Coagulation Factor IX Activity
A000168,Increased Coagulation Factor X Activity
A000169,Antineoplastic and Immunomodulating Agents
A000170,Megakaryocyte Growth Factor
A000171,Detoxifying Agents for Antineoplastic Treatment
D005346,Fibroblast Growth Factors
A000172,Increased Epithelial Proliferation
A000173,Mucocutaneous Epithelial Cell Growth Factor
A000174,Antihypoglycemic Agent
A000175,Decreased GI Motility
A000176,Decreased GI Smooth Muscle Tone
A000177,Decreased Glycolysis
D005765,Gastrointestinal Agents
D005768,Gastrointestinal Hormones
A000178,Gastrointestinal Motility Inhibitor
A000179,"Glucagon, antagonists & inhibitors"
A000180,Glycogenolytic Agents
A000181,Glycogenolytic Hormones
A000182,Increased Gluconeogenesis
A000183,Increased Glycogenolysis
D052336,Proglucagon
A000184,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
D019380,Anti-HIV Agents
A000185,Antineoplastic and Immunomodulating Agents
A000186,Cancer immunotherapy
D065691,Cytochrome P-450 CYP2E1 Inhibitors
A000187,Cytochrome P-450 CYP2E1 Inhibitors (strength unknown)
D065692,Cytochrome P-450 CYP3A Inhibitors
A000188,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
A000189,Drugs that are Mainly Renally Excreted
A000190,Hypotensive Agents
A000191,Increased Lymphocyte Activation
A000192,Increased Lymphocyte Cell Production
A000193,Lymphocyte Growth Factor
A000194,Myelosuppressive Agents
A000195,Narrow Therapeutic Index Drugs
D065087,Acetylcholine Release Inhibitors
A000196,Agents that produce neuromuscular block (indirect)
D000664,Amphibian Venoms
D018726,Anti-Dyskinesia Agents
D001426,Bacterial Proteins
D001905,Botulinum Toxins
D002491,Central Nervous System Agents
D002492,Central Nervous System Depressants
D018678,Cholinergic Agents
D005730,Ganglion Blockers
D049990,Membrane Transport Modulators
D008666,Metalloendopeptidases
D045726,Metalloproteases
A000197,Muscle Relaxants
A000198,"Muscle Relaxants, Peripherally Acting Agents"
A000199,Musculo-Skeletal System
D009498,Neurotoxins
D018377,Neurotransmitter Agents
A000200,Other Miscellaneous Therapeutic Agents
D014688,Venoms
A000201,Agents to Treat Airway Disease
D018926,Anti-Allergic Agents
D018927,Anti-Asthmatic Agents
A000202,Anti-IgE
A000203,Decreased IgE Activity
A000204,IgE-directed Antibody Interactions
A000205,"Respiratory Agents, Miscellaneous"
D019141,Respiratory System Agents
A000206,Genito Urinary System and Sex Hormones
A000207,Gonadotropins and Antigonadotropins
A000208,Sex Hormones and Modulators of the Genital System
A000209,Alimentary Tract and Metabolism
A000210,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
A000211,Drugs Used in Diabetes
A000212,Hypoglycemia-Associated Agents
A000213,Insulin Analog
A000214,"Insulins and Analogues for Injection, Fast-Acting"
A000215,Alimentary Tract and Metabolism
D000963,Antimetabolites
A000216,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
A000217,Drugs Used in Diabetes
A000218,Hypoglycemia-Associated Agents
D000960,Hypolipidemic Agents
A000219,Insulin Analog
D049528,"Insulin, Long-Acting"
