identifier,derived-from,resource
CHEMBL509,DB00939,ChEMBL
ZINC000000001655,DB00939,ZINC
6678,DB00939,RxCUI
6817,DB00940,ChEBI
4097,DB00940,PubChem Compound
46505807,DB00940,PubChem Substance
C07849,DB00940,KEGG Compound
PA164747037,DB00940,PharmGKB
DAP001109,DB00940,Therapeutic Targets Database
Methantheline,DB00940,Wikipedia
CHEMBL1201264,DB00940,ChEMBL
ZINC000001530932,DB00940,ZINC
6821,DB00940,RxCUI
135804,DB00941,ChEBI
3601,DB00941,PubChem Compound
46507171,DB00941,PubChem Substance
D04435,DB00941,KEGG Drug
3475,DB00941,ChemSpider
PA164743020,DB00941,PharmGKB
DAP000963,DB00941,Therapeutic Targets Database
Hexafluronium_bromide,DB00941,Wikipedia
CHEMBL1201349,DB00941,ChEMBL
ZINC000001566899,DB00941,ZINC
26826,DB00941,RxCUI
59692,DB00942,ChEBI
2911,DB00942,PubChem Compound
46506736,DB00942,PubChem Substance
2808,DB00942,ChemSpider
PA164749387,DB00942,PharmGKB
DAP001120,DB00942,Therapeutic Targets Database
Cycrimine,DB00942,Wikipedia
CHEMBL1201227,DB00942,ChEMBL
22037,DB00942,RxCUI
884,DB00943,Drugs Product Database (DPD)
10101,DB00943,ChEBI
24066,DB00943,PubChem Compound
46507879,DB00943,PubChem Substance
C07207,DB00943,KEGG Compound
D00412,DB00943,KEGG Drug
22498,DB00943,ChemSpider
50145605,DB00943,BindingDB
PA451950,DB00943,PharmGKB
DNC000527,DB00943,Therapeutic Targets Database
Zalcitabine,DB00943,Wikipedia
CHEMBL853,DB00943,ChEMBL
ZINC000000039906,DB00943,ZINC
3363,DB00943,RxCUI
59719,DB00944,ChEBI
5966,DB00944,PubChem Compound
46507824,DB00944,PubChem Substance
D00667,DB00944,KEGG Drug
5751,DB00944,ChemSpider
PA164745610,DB00944,PharmGKB
DAP000894,DB00944,Therapeutic Targets Database
Demecarium_bromide,DB00944,Wikipedia
CHEMBL1201229,DB00944,ChEMBL
ZINC000003875376,DB00944,ZINC
107771,DB00944,RxCUI
150,DB00945,Drugs Product Database (DPD)
15365,DB00945,ChEBI
2244,DB00945,PubChem Compound
46505803,DB00945,PubChem Substance
C01405,DB00945,KEGG Compound
D00109,DB00945,KEGG Drug
2157,DB00945,ChemSpider
22360,DB00945,BindingDB
PA448497,DB00945,PharmGKB
AIN,DB00945,PDB
DAP000843,DB00945,Therapeutic Targets Database
4139,DB00945,IUPHAR
Aspirin,DB00945,Wikipedia
CHEMBL25,DB00945,ChEMBL
ZINC000000000053,DB00945,ZINC
1191,DB00945,RxCUI
50438,DB00946,ChEBI
54680692,DB00946,PubChem Compound
46506423,DB00946,PubChem Substance
D05457,DB00946,KEGG Drug
10441592,DB00946,ChemSpider
768,DB00946,BindingDB
PA450921,DB00946,PharmGKB
DAP000771,DB00946,Therapeutic Targets Database
Phenprocoumon,DB00946,Wikipedia
CHEMBL1465,DB00946,ChEMBL
8150,DB00946,RxCUI
13276,DB00947,Drugs Product Database (DPD)
31638,DB00947,ChEBI
17756771,DB00947,PubChem Compound
46508664,DB00947,PubChem Substance
D01161,DB00947,KEGG Drug
94553,DB00947,ChemSpider
50238741,DB00947,BindingDB
PA164747170,DB00947,PharmGKB
DAP000319,DB00947,Therapeutic Targets Database
1015,DB00947,IUPHAR
Fulvestrant,DB00947,Wikipedia
CHEMBL1358,DB00947,ChEMBL
282357,DB00947,RxCUI
6919,DB00948,ChEBI
656511,DB00948,PubChem Compound
46506692,DB00948,PubChem Substance
C07221,DB00948,KEGG Compound
D05021,DB00948,KEGG Drug
570894,DB00948,ChemSpider
PA164750540,DB00948,PharmGKB
DAP001180,DB00948,Therapeutic Targets Database
Mezlocillin,DB00948,Wikipedia
CHEMBL1731,DB00948,ChEMBL
ZINC000003831120,DB00948,ZINC
6927,DB00948,RxCUI
4995,DB00949,ChEBI
3331,DB00949,PubChem Compound
46506375,DB00949,PubChem Substance
C07501,DB00949,KEGG Compound
D00536,DB00949,KEGG Drug
3214,DB00949,ChemSpider
50088430,DB00949,BindingDB
PA449590,DB00949,PharmGKB
DAP000093,DB00949,Therapeutic Targets Database
Felbamate,DB00949,Wikipedia
CHEMBL1094,DB00949,ChEMBL
ZINC000001530803,DB00949,ZINC
24812,DB00949,RxCUI
11456,DB00950,Drugs Product Database (DPD)
5050,DB00950,ChEBI
46504676,DB00950,PubChem Substance
C06999,DB00950,KEGG Compound
D07958,DB00950,KEGG Drug
3231,DB00950,ChemSpider
22874,DB00950,BindingDB
PA449621,DB00950,PharmGKB
DAP000330,DB00950,Therapeutic Targets Database
Fexofenadine,DB00950,Wikipedia
CHEMBL914,DB00950,ChEMBL
87636,DB00950,RxCUI
6618,DB00951,Drugs Product Database (DPD)
3767,DB00951,PubChem Compound
46506039,DB00951,PubChem Substance
C07054,DB00951,KEGG Compound
D00346,DB00951,KEGG Drug
3635,DB00951,ChemSpider
50336507,DB00951,BindingDB
PA450112,DB00951,PharmGKB
NIZ,DB00951,PDB
DAP000011,DB00951,Therapeutic Targets Database
Isoniazid,DB00951,Wikipedia
CHEMBL64,DB00951,ChEMBL
ZINC000000001590,DB00951,ZINC
11770,DB00952,Drugs Product Database (DPD)
4440,DB00952,PubChem Compound
46507243,DB00952,PubChem Substance
C07792,DB00952,KEGG Compound
D08255,DB00952,KEGG Drug
4287,DB00952,ChemSpider
50073682,DB00952,BindingDB
PA450597,DB00952,PharmGKB
DAP000890,DB00952,Therapeutic Targets Database
45,DB00952,IUPHAR
Naratriptan,DB00952,Wikipedia
CHEMBL1278,DB00952,ChEMBL
ZINC000000004076,DB00952,ZINC
141366,DB00952,RxCUI
11899,DB00953,Drugs Product Database (DPD)
48273,DB00953,ChEBI
5078,DB00953,PubChem Compound
46506557,DB00953,PubChem Substance
D00675,DB00953,KEGG Drug
4900,DB00953,ChemSpider
50033437,DB00953,BindingDB
PA451264,DB00953,PharmGKB
DAP000220,DB00953,Therapeutic Targets Database
51,DB00953,IUPHAR
Rizatriptan,DB00953,Wikipedia
CHEMBL905,DB00953,ChEMBL
ZINC000000005895,DB00953,ZINC
88014,DB00953,RxCUI
474014,DB00954,ChEBI
6473883,DB00954,PubChem Compound
46509156,DB00954,PubChem Substance
D03865,DB00954,KEGG Drug
4976073,DB00954,ChemSpider
59397,DB00954,BindingDB
PA449368,DB00954,PharmGKB
DI0,DB00954,PDB
DAP000888,DB00954,Therapeutic Targets Database
Dirithromycin,DB00954,Wikipedia
CHEMBL1237072,DB00954,ChEMBL
ZINC000096095661,DB00954,ZINC
23437,DB00954,RxCUI
8353,DB00955,Drugs Product Database (DPD)
23381,DB00955,Drugs Product Database (DPD)
7528,DB00955,ChEBI
441306,DB00955,PubChem Compound
46507404,DB00955,PubChem Substance
C07657,DB00955,KEGG Compound
D08268,DB00955,KEGG Drug
20152952,DB00955,ChemSpider
50470664,DB00955,BindingDB
PA164754913,DB00955,PharmGKB
DAP000404,DB00955,Therapeutic Targets Database
Netilmicin,DB00955,Wikipedia
CHEMBL1572,DB00955,ChEMBL
ZINC000052981502,DB00955,ZINC
7337,DB00955,RxCUI
20386,DB00956,Drugs Product Database (DPD)
6161,DB00956,Drugs Product Database (DPD)
5779,DB00956,ChEBI
5284569,DB00956,PubChem Compound
46506225,DB00956,PubChem Substance
C08024,DB00956,KEGG Compound
D08045,DB00956,KEGG Drug
4447623,DB00956,ChemSpider
50386689,DB00956,BindingDB
PA449900,DB00956,PharmGKB
DAP000253,DB00956,Therapeutic Targets Database
Hydrocodone,DB00956,Wikipedia
CHEMBL1457,DB00956,ChEMBL
ZINC000001280665,DB00956,ZINC
5489,DB00956,RxCUI
50815,DB00957,ChEBI
6540478,DB00957,PubChem Compound
46507381,DB00957,PubChem Substance
D05209,DB00957,KEGG Drug
5022837,DB00957,ChemSpider
PA164744346,DB00957,PharmGKB
DAP001210,DB00957,Therapeutic Targets Database
Norgestimate,DB00957,Wikipedia
CHEMBL1200934,DB00957,ChEMBL
ZINC000003938695,DB00957,ZINC
31994,DB00957,RxCUI
1755,DB00958,Drugs Product Database (DPD)
31355,DB00958,ChEBI
38904,DB00958,PubChem Compound
46507170,DB00958,PubChem Substance
D01363,DB00958,KEGG Drug
8514637,DB00958,ChemSpider
PA448803,DB00958,PharmGKB
DAP000535,DB00958,Therapeutic Targets Database
Carboplatin,DB00958,Wikipedia
CHEMBL1351,DB00958,ChEMBL
40048,DB00958,RxCUI
7626,DB00959,Drugs Product Database (DPD)
7624,DB00959,Drugs Product Database (DPD)
7621,DB00959,Drugs Product Database (DPD)
6888,DB00959,ChEBI
46504885,DB00959,PubChem Substance
D00407,DB00959,KEGG Drug
50103616,DB00959,BindingDB
PA450466,DB00959,PharmGKB
DAP001040,DB00959,Therapeutic Targets Database
Methylprednisolone,DB00959,Wikipedia
CHEMBL650,DB00959,ChEMBL
ZINC000003875560,DB00959,ZINC
6902,DB00959,RxCUI
2144,DB00960,Drugs Product Database (DPD)
8214,DB00960,ChEBI
4828,DB00960,PubChem Compound
46508362,DB00960,PubChem Substance
C07445,DB00960,KEGG Compound
D00513,DB00960,KEGG Drug
4662,DB00960,ChemSpider
50019443,DB00960,BindingDB
PA450966,DB00960,PharmGKB
DAP000025,DB00960,Therapeutic Targets Database
91,DB00960,IUPHAR
Pindolol,DB00960,Wikipedia
CHEMBL500,DB00960,ChEMBL
8332,DB00960,RxCUI
10271,DB00961,Drugs Product Database (DPD)
6759,DB00961,ChEBI
4062,DB00961,PubChem Compound
46507857,DB00961,PubChem Substance
C07528,DB00961,KEGG Compound
D08181,DB00961,KEGG Drug
3922,DB00961,ChemSpider
50417964,DB00961,BindingDB
PA164748741,DB00961,PharmGKB
DAP001232,DB00961,Therapeutic Targets Database
Mepivacaine,DB00961,Wikipedia
CHEMBL1087,DB00961,ChEMBL
11989,DB00962,Drugs Product Database (DPD)
10102,DB00962,ChEBI
5719,DB00962,PubChem Compound
46508267,DB00962,PubChem Substance
C07484,DB00962,KEGG Compound
D00530,DB00962,KEGG Drug
5517,DB00962,ChemSpider
86521,DB00962,BindingDB
PA451952,DB00962,PharmGKB
DAP000266,DB00962,Therapeutic Targets Database
Zaleplon,DB00962,Wikipedia
CHEMBL1521,DB00962,ChEMBL
ZINC000000006300,DB00962,ZINC
74667,DB00962,RxCUI
22591,DB00963,Drugs Product Database (DPD)
240107,DB00963,ChEBI
60726,DB00963,PubChem Compound
46508121,DB00963,PubChem Substance
D07541,DB00963,KEGG Drug
54730,DB00963,ChemSpider
50248104,DB00963,BindingDB
PA448670,DB00963,PharmGKB
27R,DB00963,PDB
DAP000732,DB00963,Therapeutic Targets Database
Bromfenac,DB00963,Wikipedia
CHEMBL1077,DB00963,ChEMBL
ZINC000002570817,DB00963,ZINC
19737,DB00963,RxCUI
11372,DB00964,Drugs Product Database (DPD)
2788,DB00964,ChEBI
2216,DB00964,PubChem Compound
46505614,DB00964,PubChem Substance
C07668,DB00964,KEGG Compound
50021812,DB00964,BindingDB
PA164748866,DB00964,PharmGKB
DAP000236,DB00964,Therapeutic Targets Database
Apraclonidine,DB00964,Wikipedia
CHEMBL647,DB00964,ChEMBL
ZINC000000020231,DB00964,ZINC
14845,DB00964,RxCUI
7218,DB00965,Drugs Product Database (DPD)
46505147,DB00965,PubChem Substance
D04082,DB00965,KEGG Drug
PA164768833,DB00965,PharmGKB
Lipiodol,DB00965,Wikipedia
CHEMBL1201458,DB00965,ChEMBL
4125,DB00965,RxCUI
11907,DB00966,Drugs Product Database (DPD)
9434,DB00966,ChEBI
65999,DB00966,PubChem Compound
46505370,DB00966,PubChem Substance
C07710,DB00966,KEGG Compound
D00627,DB00966,KEGG Drug
59391,DB00966,ChemSpider
50043280,DB00966,BindingDB
PA451605,DB00966,PharmGKB
TLS,DB00966,PDB
DAP000766,DB00966,Therapeutic Targets Database
592,DB00966,IUPHAR
Telmisartan,DB00966,Wikipedia
CHEMBL1017,DB00966,ChEMBL
ZINC000001530886,DB00966,ZINC
73494,DB00966,RxCUI
12210,DB00967,Drugs Product Database (DPD)
291342,DB00967,ChEBI
124087,DB00967,PubChem Compound
46507996,DB00967,PubChem Substance
D03693,DB00967,KEGG Drug
110575,DB00967,ChemSpider
50073179,DB00967,BindingDB
PA164776964,DB00967,PharmGKB
DAP000331,DB00967,Therapeutic Targets Database
Desloratadine,DB00967,Wikipedia
CHEMBL1172,DB00967,ChEMBL
ZINC000000001261,DB00967,ZINC
275635,DB00967,RxCUI
10295,DB00968,Drugs Product Database (DPD)
20297,DB00968,Drugs Product Database (DPD)
61058,DB00968,ChEBI
38853,DB00968,PubChem Compound
46508535,DB00968,PubChem Substance
C07194,DB00968,KEGG Compound
D08205,DB00968,KEGG Drug
35562,DB00968,ChemSpider
48449,DB00968,BindingDB
PA450453,DB00968,PharmGKB
DAP000226,DB00968,Therapeutic Targets Database
Methyldopa,DB00968,Wikipedia
CHEMBL459,DB00968,ChEMBL
ZINC000000020255,DB00968,ZINC
1545996,DB00968,RxCUI
253342,DB00969,ChEBI
2099,DB00969,PubChem Compound
46506274,DB00969,PubChem Substance
D07129,DB00969,KEGG Drug
50014558,DB00969,BindingDB
PA164745502,DB00969,PharmGKB
S7Y,DB00969,PDB
DAP000369,DB00969,Therapeutic Targets Database
2296,DB00969,IUPHAR
Alosetron,DB00969,Wikipedia
CHEMBL1110,DB00969,ChEMBL
ZINC000013537284,DB00969,ZINC
85248,DB00969,RxCUI
8486,DB00970,Drugs Product Database (DPD)
27666,DB00970,ChEBI
457193,DB00970,PubChem Compound
46509192,DB00970,PubChem Substance
C06770,DB00970,KEGG Compound
D00214,DB00970,KEGG Drug
10482167,DB00970,ChemSpider
43866,DB00970,BindingDB
PA151917012,DB00970,PharmGKB
DNC000380,DB00970,Therapeutic Targets Database
Dactinomycin,DB00970,Wikipedia
CHEMBL1554,DB00970,ChEMBL
3100,DB00970,RxCUI
10052,DB00971,Drugs Product Database (DPD)
135934,DB00971,ChEBI
24087,DB00971,PubChem Compound
46507535,DB00971,PubChem Substance
22519,DB00971,ChemSpider
PA164771240,DB00971,PharmGKB
CHEMBL1200680,DB00971,ChEMBL
36345,DB00971,RxCUI
22525,DB00972,Drugs Product Database (DPD)
2950,DB00972,ChEBI
2267,DB00972,PubChem Compound
46507582,DB00972,PubChem Substance
C07768,DB00972,KEGG Compound
D07483,DB00972,KEGG Drug
2180,DB00972,ChemSpider
50341448,DB00972,BindingDB
PA448517,DB00972,PharmGKB
DNC000270,DB00972,Therapeutic Targets Database
Azelastine,DB00972,Wikipedia
CHEMBL639,DB00972,ChEMBL
18603,DB00972,RxCUI
12754,DB00973,Drugs Product Database (DPD)
49040,DB00973,ChEBI
150311,DB00973,PubChem Compound
46507625,DB00973,PubChem Substance
D01966,DB00973,KEGG Drug
132493,DB00973,ChemSpider
50371521,DB00973,BindingDB
PA10816,DB00973,PharmGKB
H56,DB00973,PDB
DAP000717,DB00973,Therapeutic Targets Database
Ezetimibe,DB00973,Wikipedia
CHEMBL1138,DB00973,ChEMBL
ZINC000003810860,DB00973,ZINC
341248,DB00973,RxCUI
3829,DB00974,Drugs Product Database (DPD)
5888,DB00974,Drugs Product Database (DPD)
3836,DB00974,Drugs Product Database (DPD)
42191,DB00974,ChEBI
6049,DB00974,PubChem Compound
46508301,DB00974,PubChem Substance
C00284,DB00974,KEGG Compound
D00052,DB00974,KEGG Drug
5826,DB00974,ChemSpider
50330325,DB00974,BindingDB
PA449439,DB00974,PharmGKB
EDT,DB00974,PDB
DNC000594,DB00974,Therapeutic Targets Database
Ethylenediaminetetraacetic_acid,DB00974,Wikipedia
CHEMBL858,DB00974,ChEMBL
ZINC000019364242,DB00974,ZINC
1370600,DB00974,RxCUI
7219,DB00975,Drugs Product Database (DPD)
4653,DB00975,ChEBI
46506292,DB00975,PubChem Substance
D00302,DB00975,KEGG Drug
2997,DB00975,ChemSpider
23620,DB00975,BindingDB
PA449367,DB00975,PharmGKB
H9F,DB00975,PDB
DNC001625,DB00975,Therapeutic Targets Database
Dipyridamole,DB00975,Wikipedia
CHEMBL932,DB00975,ChEMBL
ZINC000000643046,DB00975,ZINC
13168,DB00976,Drugs Product Database (DPD)
29688,DB00976,ChEBI
3002190,DB00976,PubChem Compound
46504510,DB00976,PubChem Substance
C12009,DB00976,KEGG Compound
D01078,DB00976,KEGG Drug
2273373,DB00976,ChemSpider
50378137,DB00976,BindingDB
PA10202,DB00976,PharmGKB
TEL,DB00976,PDB
DAP000109,DB00976,Therapeutic Targets Database
Telithromycin,DB00976,Wikipedia
CHEMBL1136,DB00976,ChEMBL
ZINC000009574770,DB00976,ZINC
274786,DB00976,RxCUI
4903,DB00977,ChEBI
46508618,DB00977,PubChem Substance
C07534,DB00977,KEGG Compound
D00554,DB00977,KEGG Drug
50187243,DB00977,BindingDB
PA449527,DB00977,PharmGKB
3WF,DB00977,PDB
DAP001018,DB00977,Therapeutic Targets Database
Ethinylestradiol,DB00977,Wikipedia
CHEMBL691,DB00977,ChEMBL
ZINC000003812897,DB00977,ZINC
4124,DB00977,RxCUI
116278,DB00978,ChEBI
3948,DB00978,PubChem Compound
46508499,DB00978,PubChem Substance
C07078,DB00978,KEGG Compound
D02318,DB00978,KEGG Drug
3811,DB00978,ChemSpider
50417952,DB00978,BindingDB
PA164749165,DB00978,PharmGKB
DAP000653,DB00978,Therapeutic Targets Database
Lomefloxacin,DB00978,Wikipedia
CHEMBL561,DB00978,ChEMBL
28872,DB00978,RxCUI
4024,DB00979,ChEBI
2905,DB00979,PubChem Compound
46504517,DB00979,PubChem Substance
C06932,DB00979,KEGG Compound
2802,DB00979,ChemSpider
82375,DB00979,BindingDB
PA164743019,DB00979,PharmGKB
DAP001111,DB00979,Therapeutic Targets Database
Cyclopentolate,DB00979,Wikipedia
CHEMBL1201338,DB00979,ChEMBL
3001,DB00979,RxCUI
109549,DB00980,ChEBI
208902,DB00980,PubChem Compound
46505923,DB00980,PubChem Substance
181000,DB00980,ChemSpider
50118470,DB00980,BindingDB
PA164744896,DB00980,PharmGKB
JEV,DB00980,PDB
DAP000070,DB00980,Therapeutic Targets Database
1356,DB00980,IUPHAR
Ramelteon,DB00980,Wikipedia
CHEMBL1218,DB00980,ChEMBL
ZINC000003960338,DB00980,ZINC
596205,DB00980,RxCUI
10016,DB00981,Drugs Product Database (DPD)
27953,DB00981,ChEBI
5983,DB00981,PubChem Compound
46506998,DB00981,PubChem Substance
C06535,DB00981,KEGG Compound
D00196,DB00981,KEGG Drug
5763,DB00981,ChemSpider
50222010,DB00981,BindingDB
PA450957,DB00981,PharmGKB
DAP000561,DB00981,Therapeutic Targets Database
Physostigmine,DB00981,Wikipedia
CHEMBL94,DB00981,ChEMBL
ZINC000091689892,DB00981,ZINC
8299,DB00981,RxCUI
5044,DB00982,Drugs Product Database (DPD)
5282379,DB00982,PubChem Compound
46508729,DB00982,PubChem Substance
D00348,DB00982,KEGG Drug
4445539,DB00982,ChemSpider
50031459,DB00982,BindingDB
PA450128,DB00982,PharmGKB
DAP000009,DB00982,Therapeutic Targets Database
Isotretinoin,DB00982,Wikipedia
CHEMBL547,DB00982,ChEMBL
ZINC000003792789,DB00982,ZINC
6064,DB00982,RxCUI
11381,DB00983,Drugs Product Database (DPD)
12633,DB00983,Drugs Product Database (DPD)
63082,DB00983,ChEBI
3410,DB00983,PubChem Compound
46507099,DB00983,PubChem Substance
C07805,DB00983,KEGG Compound
D07990,DB00983,KEGG Drug
86453,DB00983,BindingDB
PA134687907,DB00983,PharmGKB
DAP000247,DB00983,Therapeutic Targets Database
3465,DB00983,IUPHAR
Formoterol,DB00983,Wikipedia
CHEMBL1256786,DB00983,ChEMBL
25255,DB00983,RxCUI
7468,DB00984,ChEBI
229455,DB00984,PubChem Compound
46506276,DB00984,PubChem Substance
C08155,DB00984,KEGG Compound
D00956,DB00984,KEGG Drug
199761,DB00984,ChemSpider
PA164746281,DB00984,PharmGKB
DAP000903,DB00984,Therapeutic Targets Database
Nandrolone,DB00984,Wikipedia
CHEMBL1200412,DB00984,ChEMBL
ZINC000003881613,DB00984,ZINC
31495,DB00984,RxCUI
94848,DB00985,ChEBI
441281,DB00985,PubChem Compound
46504881,DB00985,PubChem Substance
D00520,DB00985,KEGG Drug
10210,DB00985,ChemSpider
PA449338,DB00985,PharmGKB
DAP000333,DB00985,Therapeutic Targets Database
Dimenhydrinate,DB00985,Wikipedia
CHEMBL1200406,DB00985,ChEMBL
3444,DB00985,RxCUI
9967,DB00986,Drugs Product Database (DPD)
21481,DB00986,Drugs Product Database (DPD)
94449,DB00986,ChEBI
9933193,DB00986,PubChem Compound
46509133,DB00986,PubChem Substance
D00540,DB00986,KEGG Drug
3374,DB00986,ChemSpider
50417445,DB00986,BindingDB
PA164754882,DB00986,PharmGKB
DAP001116,DB00986,Therapeutic Targets Database
Glycopyrronium_bromide,DB00986,Wikipedia
CHEMBL1201335,DB00986,ChEMBL
1546438,DB00986,RxCUI
2953,DB00987,Drugs Product Database (DPD)
28680,DB00987,ChEBI
6253,DB00987,PubChem Compound
46505879,DB00987,PubChem Substance
C02961,DB00987,KEGG Compound
D00168,DB00987,KEGG Drug
6017,DB00987,ChemSpider
50087289,DB00987,BindingDB
PA449177,DB00987,PharmGKB
AR3,DB00987,PDB
DNC001551,DB00987,Therapeutic Targets Database
Cytarabine,DB00987,Wikipedia
CHEMBL803,DB00987,ChEMBL
ZINC000003795098,DB00987,ZINC
3041,DB00987,RxCUI
18243,DB00988,ChEBI
681,DB00988,PubChem Compound
46506043,DB00988,PubChem Substance
C03758,DB00988,KEGG Compound
D07870,DB00988,KEGG Drug
661,DB00988,ChemSpider
55121,DB00988,BindingDB
PA449396,DB00988,PharmGKB
LDP,DB00988,PDB
DAP000212,DB00988,Therapeutic Targets Database
940,DB00988,IUPHAR
Dopamine,DB00988,Wikipedia
CHEMBL59,DB00988,ChEMBL
ZINC000000033882,DB00988,ZINC
3628,DB00988,RxCUI
11987,DB00989,Drugs Product Database (DPD)
8874,DB00989,ChEBI
77991,DB00989,PubChem Compound
46507452,DB00989,PubChem Substance
C11766,DB00989,KEGG Compound
D03822,DB00989,KEGG Drug
70377,DB00989,ChemSpider
10620,DB00989,BindingDB
PA451262,DB00989,PharmGKB
DAP000149,DB00989,Therapeutic Targets Database
Rivastigmine,DB00989,Wikipedia
CHEMBL636,DB00989,ChEMBL
ZINC000000004413,DB00989,ZINC
183379,DB00989,RxCUI
12019,DB00990,Drugs Product Database (DPD)
4953,DB00990,ChEBI
60198,DB00990,PubChem Compound
46508243,DB00990,PubChem Substance
C08162,DB00990,KEGG Compound
D00963,DB00990,KEGG Drug
54278,DB00990,ChemSpider
50398447,DB00990,BindingDB
PA449563,DB00990,PharmGKB
EXM,DB00990,PDB
DAP000625,DB00990,Therapeutic Targets Database
Exemestane,DB00990,Wikipedia
CHEMBL1200374,DB00990,ChEMBL
ZINC000003973334,DB00990,ZINC
258494,DB00990,RxCUI
1863,DB00991,Drugs Product Database (DPD)
7822,DB00991,ChEBI
4614,DB00991,PubChem Compound
46506429,DB00991,PubChem Substance
C07356,DB00991,KEGG Compound
D00463,DB00991,KEGG Drug
50002861,DB00991,BindingDB
PA450730,DB00991,PharmGKB
BJ6,DB00991,PDB
DAP000622,DB00991,Therapeutic Targets Database
Oxaprozin,DB00991,Wikipedia
CHEMBL1071,DB00991,ChEMBL
ZINC000049643479,DB00991,ZINC
32613,DB00991,RxCUI
20439,DB00992,Drugs Product Database (DPD)
724125,DB00992,ChEBI
157922,DB00992,PubChem Compound
46507004,DB00992,PubChem Substance
D08204,DB00992,KEGG Drug
138950,DB00992,ChemSpider
PA164784028,DB00992,PharmGKB
DAP001024,DB00992,Therapeutic Targets Database
Methyl_aminolevulinate,DB00992,Wikipedia
CHEMBL1096562,DB00992,ChEMBL
ZINC000001909090,DB00992,ZINC
337068,DB00992,RxCUI
10128,DB00993,Drugs Product Database (DPD)
2948,DB00993,ChEBI
2265,DB00993,PubChem Compound
46508252,DB00993,PubChem Substance
C06837,DB00993,KEGG Compound
D00238,DB00993,KEGG Drug
2178,DB00993,ChemSpider
50373919,DB00993,BindingDB
PA448515,DB00993,PharmGKB
DAP000782,DB00993,Therapeutic Targets Database
Azathioprine,DB00993,Wikipedia
CHEMBL1542,DB00993,ChEMBL
ZINC000004258316,DB00993,ZINC
1256,DB00993,RxCUI
8636,DB00994,Drugs Product Database (DPD)
7507,DB00994,ChEBI
46505525,DB00994,PubChem Substance
C00384,DB00994,KEGG Compound
D08260,DB00994,KEGG Drug
PA450608,DB00994,PharmGKB
CNY,DB00994,PDB
DAP000036,DB00994,Therapeutic Targets Database
7299,DB00994,RxCUI
1898,DB00995,Drugs Product Database (DPD)
2922,DB00995,ChEBI
70788951,DB00995,PubChem Compound
46507010,DB00995,PubChem Substance
D00237,DB00995,KEGG Drug
5293650,DB00995,ChemSpider
50153291,DB00995,BindingDB
PA448510,DB00995,PharmGKB
DAP000757,DB00995,Therapeutic Targets Database
Auranofin,DB00995,Wikipedia
CHEMBL1366,DB00995,ChEMBL
1227,DB00995,RxCUI
470,DB00996,Drugs Product Database (DPD)
42797,DB00996,ChEBI
46506529,DB00996,PubChem Substance
D00332,DB00996,KEGG Drug
3328,DB00996,ChemSpider
50080153,DB00996,BindingDB
PA449720,DB00996,PharmGKB
GBN,DB00996,PDB
DNC000670,DB00996,Therapeutic Targets Database
Gabapentin,DB00996,Wikipedia
CHEMBL940,DB00996,ChEMBL
ZINC000000004949,DB00996,ZINC
25480,DB00996,RxCUI
2298,DB00997,Drugs Product Database (DPD)
28748,DB00997,ChEBI
31703,DB00997,PubChem Compound
46507641,DB00997,PubChem Substance
C01661,DB00997,KEGG Compound
D03899,DB00997,KEGG Drug
29400,DB00997,ChemSpider
22984,DB00997,BindingDB
PA449412,DB00997,PharmGKB
DM2,DB00997,PDB
DNC000163,DB00997,Therapeutic Targets Database
Doxorubicin,DB00997,Wikipedia
CHEMBL53463,DB00997,ChEMBL
ZINC000003918087,DB00997,ZINC
3639,DB00997,RxCUI
13350,DB00998,Drugs Product Database (DPD)
134991,DB00998,ChEBI
77992,DB00998,PubChem Compound
46506288,DB00998,PubChem Substance
D07997,DB00998,KEGG Drug
70378,DB00998,ChemSpider
50073689,DB00998,BindingDB
PA164754891,DB00998,PharmGKB
DAP000063,DB00998,Therapeutic Targets Database
Frovatriptan,DB00998,Wikipedia
CHEMBL1279,DB00998,ChEMBL
ZINC000000018635,DB00998,ZINC
228783,DB00998,RxCUI
10234,DB00999,Drugs Product Database (DPD)
5778,DB00999,ChEBI
46504440,DB00999,PubChem Substance
C07041,DB00999,KEGG Compound
D00340,DB00999,KEGG Drug
3513,DB00999,ChemSpider
13076,DB00999,BindingDB
PA449899,DB00999,PharmGKB
HCZ,DB00999,PDB
DAP000750,DB00999,Therapeutic Targets Database
Hydrochlorothiazide,DB00999,Wikipedia
CHEMBL435,DB00999,ChEMBL
ZINC000000896569,DB00999,ZINC
31444,DB01000,ChEBI
19003,DB01000,PubChem Compound
46508073,DB01000,PubChem Substance
C12766,DB01000,KEGG Compound
D01334,DB01000,KEGG Drug
50350474,DB01000,BindingDB
PA164743456,DB01000,PharmGKB
DAP001159,DB01000,Therapeutic Targets Database
Ciclacillin,DB01000,Wikipedia
CHEMBL1200356,DB01000,ChEMBL
ZINC000003830609,DB01000,ZINC
2968,DB01000,RxCUI
2585,DB01001,Drugs Product Database (DPD)
2083,DB01001,PubChem Compound
46505312,DB01001,PubChem Substance
D02147,DB01001,KEGG Drug
1999,DB01001,ChemSpider
25769,DB01001,BindingDB
PA448068,DB01001,PharmGKB
DNC000873,DB01001,Therapeutic Targets Database
558,DB01001,IUPHAR
Salbutamol,DB01001,Wikipedia
CHEMBL714,DB01001,ChEMBL
