drug,category
DB00055,D004798
DB00055,D045762
DB00055,D005343
DB00055,D006023
DB00055,D011498
DB00055,D011506
DB00055,A000263
DB00056,D000602
DB00056,D000906
DB00056,D000911
DB00056,D061067
DB00056,D018796
DB00056,D000970
DB00056,D000074322
DB00056,A000264
DB00056,D001798
DB00056,D000080084
DB00056,A000265
DB00056,D002241
DB00056,A000266
DB00056,A000267
DB00056,D005916
DB00056,D006027
DB00056,A000268
DB00056,D007136
DB00056,D007155
DB00056,D007162
DB00056,D007166
DB00056,D007167
DB00056,D000922
DB00056,A000269
DB00056,A000270
DB00056,A000271
DB00056,D009676
DB00056,D011506
DB00056,D012712
DB00056,D004786
DB00057,D000085
DB00057,D000144
DB00057,D000588
DB00057,D000602
DB00057,D000906
DB00057,D001798
DB00057,A000272
DB00057,D005916
DB00057,D007136
DB00057,D007162
DB00057,A000273
DB00057,D007205
DB00057,D010455
DB00057,D011073
DB00057,D011506
DB00057,D012712
DB00057,A000274
DB00058,D000209
DB00058,D000510
DB00058,D000602
DB00058,D000933
DB00058,A000275
DB00058,D001798
DB00058,D004791
DB00058,D004798
DB00058,D045762
DB00058,D005916
DB00058,D006023
DB00058,D006490
DB00058,A000276
DB00058,D010455
DB00058,D011480
DB00058,A000277
DB00058,D011506
DB00058,D015842
DB00058,D015843
DB00058,D012712
DB00058,D014361
DB00059,D000438
DB00059,D000581
DB00059,D000970
DB00059,A000278
DB00059,D001215
DB00059,A000279
DB00059,D020313
DB00059,D003692
DB00059,D004798
DB00059,D045762
DB00059,D005026
DB00059,D006018
DB00059,D006867
DB00059,D007166
DB00059,D046911
DB00059,A000280
DB00059,D011108
DB00059,A000281
DB00060,D000276
DB00060,D000602
DB00060,D000890
DB00060,A000282
DB00060,D000998
DB00060,D001685
DB00060,D065609
DB00060,A000283
DB00060,D065607
DB00060,D016207
DB00060,D007155
DB00060,D000091369
DB00060,D036341
DB00060,D007370
DB00060,D016899
DB00060,D007372
DB00060,D010455
DB00060,D011506
DB00060,A000284
DB00061,D000276
DB00061,D000619
DB00061,A000285
DB00061,A000286
DB00061,D004798
DB00061,D045762
DB00061,D006867
DB00061,D009700
DB00061,A000287
DB00061,D016511
DB00062,D000418
DB00062,D000602
DB00062,A000288
DB00062,A000289
DB00062,A000290
DB00062,D001798
DB00062,A000291
DB00062,A000292
DB00062,A000293
DB00062,A000294
DB00062,D000075462
DB00062,A000295
DB00062,A000296
DB00062,A000297
DB00062,D011506
DB00062,D012709
DB00063,D000602
DB00063,D010975
DB00063,A000298
DB00063,A000299
DB00063,D006401
DB00063,D010455
DB00063,D010456
DB00063,A000300
DB00065,A000301
DB00065,A000302
DB00065,D000602
DB00065,D000893
DB00065,D000906
DB00065,D000911
DB00065,A000303
DB00065,D018501
DB00065,D001688
DB00065,A000304
DB00065,D001798
DB00065,D045424
DB00065,D003879
DB00065,A000305
DB00065,D005765
DB00065,D005916
DB00065,D007136
DB00065,D007162
DB00065,D007166
DB00065,D011506
DB00065,D012712
DB00065,A000306
DB00065,D000079424
DB00065,A000307
DB00066,D000602
DB00066,D005640
DB00066,A000308
DB00066,D006062
DB00066,A000309
DB00066,D006065
DB00066,D006728
DB00066,D006730
DB00066,D036361
DB00066,D010455
DB00066,D010907
DB00066,D010908
DB00066,D011506
DB00066,A000310
DB00066,D013972
DB00067,D000602
DB00067,D050034
DB00067,D001127
DB00067,A000311
DB00067,D002317
DB00067,D003029
DB00067,A000312
DB00067,D006401
DB00067,D006490
DB00067,D006728
DB00067,D006730
DB00067,D045283
DB00067,D009419
DB00067,D009479
DB00067,D009842
DB00067,D036361
DB00067,D010455
DB00067,A000313
DB00067,D010907
DB00067,D010909
DB00067,D011506
DB00067,D014661
DB00067,D014662
DB00067,A000314
DB00067,D014667
DB00068,D000276
DB00068,D000602
DB00068,A000315
DB00068,D001685
DB00068,D065609
DB00068,A000316
DB00068,D065607
DB00068,D016207
DB00068,D007155
DB00068,D007166
DB00068,D036341
DB00068,D007370
DB00068,D016899
DB00068,D007372
DB00068,A000317
DB00068,D010455
DB00068,D011506
DB00068,A000318
DB00069,D000276
DB00069,A000319
DB00069,D000602
DB00069,D000890
DB00069,A000320
DB00069,D000998
DB00069,D001685
DB00069,D065609
DB00069,A000321
DB00069,D065607
DB00069,D016207
DB00069,D007166
DB00069,D036341
DB00069,A000322
DB00069,D007370
DB00069,D007372
DB00069,A000323
DB00069,D010455
DB00069,D011506
DB00070,D004798
DB00070,D045762
DB00070,D006026
DB00071,A000324
DB00071,D000602
DB00071,D007004
DB00071,D065694
DB00071,A000325
DB00071,D065693
DB00071,A000326
DB00071,D006728
DB00071,D006730
DB00071,D007328
DB00071,D061266
DB00071,A000327
DB00071,D010187
DB00071,D036361
DB00071,D010455
DB00071,D011506
DB00072,D000602
DB00072,D000906
DB00072,D000911
DB00072,D061067
DB00072,D000970
DB00072,D000074322
DB00072,A000328
DB00072,D001798
DB00072,A000329
DB00072,A000330
DB00072,D005916
DB00072,A000331
DB00072,A000332
DB00072,A000333
DB00072,D007136
DB00072,D007162
DB00072,D007166
DB00072,D007167
DB00072,A000334
DB00072,A000335
DB00072,D011506
DB00072,D012712
DB00073,D000602
DB00073,D000906
DB00073,D000911
DB00073,D058846
DB00073,D000970
DB00073,D000074322
DB00073,D018501
DB00073,A000336
DB00073,D001798
DB00073,A000337
DB00073,A000338
DB00073,A000339
DB00073,A000340
DB00073,D005916
DB00073,D007136
DB00073,D007155
DB00073,D007162
DB00073,D007166
DB00073,D007167
DB00073,A000341
DB00073,A000342
DB00073,A000343
DB00073,D011506
DB00073,D012712
DB00074,D000602
DB00074,D000906
DB00074,D000911
DB00074,D061067
DB00074,A000344
DB00074,D001798
DB00074,D005916
DB00074,D007136
DB00074,D007155
DB00074,D007162
DB00074,D007166
DB00074,A000345
DB00074,D000088902
DB00074,A000346
DB00074,A000347
DB00074,D011506
DB00074,D012712
DB00075,D000602
DB00075,D000906
DB00075,D000911
DB00075,D058846
DB00075,A000348
DB00075,D001798
DB00075,A000349
DB00075,A000350
DB00075,A000351
DB00075,A000352
DB00075,D005916
DB00075,D007074
DB00075,D007132
DB00075,D007136
DB00075,D007155
DB00075,D007162
DB00075,D007166
DB00075,D011506
DB00075,A000353
DB00075,D012712
DB00076,D000602
DB00076,D000931
DB00076,D001798
DB00076,A000354
DB00076,D007074
DB00076,D007136
DB00076,D011506
DB00076,D044967
DB00076,D012712
DB00078,D000602
DB00078,D000906
DB00078,D000911
DB00078,D018951
DB00078,D001798
DB00078,A000355
DB00078,A000356
DB00078,A000357
DB00078,D005916
DB00078,D007136
DB00078,D007162
DB00078,D007166
