drug,reference
DB00067,A249445
DB00067,A247075
DB00067,L31413
DB00067,A2021
DB00067,A2023
DB00067,A2025
DB00067,A2026
DB00067,A2030
DB00067,A6716
DB00067,A6717
DB00067,A6718
DB00067,A6719
DB00067,A6720
DB00067,A228013
DB00068,A14065
DB00068,A9
DB00069,A1713
DB00069,A1715
DB00069,A2033
DB00069,A9
DB00069,A116
DB00070,A11623
DB00070,A11624
DB00070,A11625
DB00070,A11626
DB00071,A1840
DB00071,A1839
DB00071,A9
DB00071,A1713
DB00071,A1715
DB00071,A13240
DB00071,A13241
DB00071,A13242
DB00072,A9
DB00072,A13551
DB00072,A13552
DB00072,A13553
DB00073,A9
DB00073,A13495
DB00073,A13496
DB00073,A124
DB00073,A234849
DB00073,A234854
DB00073,A247090
DB00073,F2122
DB00074,A2034
DB00074,A2036
DB00074,A2037
DB00074,A2038
DB00074,A2042
DB00074,A9
DB00074,A13281
DB00074,A13282
DB00074,A13283
DB00074,A13284
DB00074,A13285
DB00075,A15421
DB00075,A15422
DB00075,A1713
DB00075,A1715
DB00075,A9
DB00075,A13286
DB00075,A13287
DB00076,A1713
DB00076,A1715
DB00076,A6683
DB00076,A6684
DB00076,A6685
DB00076,A6511
DB00078,A2044
DB00078,A2046
DB00078,A2048
DB00078,A2050
DB00078,A2052
DB00078,A9
DB00078,A2054
DB00078,A247090
DB00080,A231374
DB00080,A231379
DB00080,A231384
DB00080,A231394
DB00080,A14171
DB00080,A231409
DB00080,A231419
DB00080,A231424
DB00080,A231429
DB00080,L32534
DB00081,A2046
DB00081,A2048
DB00081,A2056
DB00081,A2058
DB00081,A2060
DB00081,A9
DB00081,A2063
DB00081,A6923
DB00081,A202865
DB00082,A13418
DB00082,A13419
DB00082,A9
DB00082,A13420
DB00083,A2064
DB00083,A2066
DB00083,A2072
DB00083,A231814
DB00083,L32494
DB00083,A15361
DB00085,A17142
DB00085,A17143
DB00085,A17144
DB00086,A13288
DB00086,A13289
DB00086,A13290
DB00086,A13291
DB00086,A13292
DB00086,A9
DB00086,A13293
DB00086,A70342
DB00087,A2075
DB00087,A2077
DB00087,A2078
DB00087,A2081
DB00087,A2083
DB00087,A9
DB00087,A2085
DB00087,A2086
DB00087,A13294
DB00087,A13295
DB00087,A13296
DB00087,A13297
DB00087,A202025
DB00088,A95
DB00089,A2089
DB00089,A2090
DB00089,A2092
DB00089,A2093
DB00089,A9
DB00090,A1713
DB00090,A1715
DB00090,A6686
DB00090,A6687
DB00090,A6688
DB00091,A2095
DB00091,A2096
DB00091,A2098
DB00091,A2100
DB00091,A174049
DB00091,A189408
DB00091,A189501
DB00091,A189504
DB00091,L3734
DB00091,A11631
DB00091,A11632
DB00091,A11633
DB00091,A189495
DB00091,A189498
DB00091,A74200
DB00092,A2102
DB00092,A2104
DB00092,A2106
DB00092,A2108
DB00092,A2110
DB00092,A9
DB00092,A247090
DB00092,A1713
DB00092,A1715
DB00092,A13298
DB00093,A1713
DB00093,A1715
DB00093,A2112
DB00093,A9
DB00094,A2011
DB00094,A2013
DB00094,A2014
DB00094,A2017
DB00094,A2019
DB00094,A9
DB00095,A202904
DB00095,A2114
DB00095,A146
DB00095,A9
DB00095,A199125
DB00097,A13299
DB00097,A13300
DB00097,A2119
DB00097,A2116
DB00097,A2120
DB00097,A9
DB00098,A15362
DB00098,A1713
DB00098,A1715
DB00098,A9
DB00099,A1792
DB00099,A2123
DB00099,A1800
DB00099,A1797
DB00099,A1798
DB00099,F714
DB00099,F719
DB00100,A2125
DB00100,A2126
DB00100,A2128
DB00100,A2131
DB00100,A2133
DB00100,A9
DB00100,A2134
DB00100,A11634
DB00100,A11635
DB00100,A13313
DB00100,A13314
DB00100,A13308
DB00100,A13315
DB00100,A13157
DB00100,A13303
DB00100,A13304
DB00100,A13305
DB00100,A13306
DB00100,A13307
DB00100,A13309
DB00100,A13310
DB00100,A13311
DB00100,A13312
DB00100,A1713
DB00100,A1715
DB00100,A13321
DB00100,A13316
DB00100,A13317
DB00100,A13318
DB00100,A13319
DB00100,A13320
DB00102,A2136
DB00102,A13324
DB00102,A13325
DB00102,A13326
DB00102,A13327
DB00102,A13328
DB00102,A13322
DB00102,A13323
DB00103,A153
DB00103,A154
DB00103,A155
DB00103,L16383
DB00104,A214673
DB00104,A214676
DB00104,L14513
DB00104,L14519
DB00105,A1713
DB00105,A1715
DB00105,A2138
DB00105,A9
DB00105,A6726
DB00106,A2140
DB00107,A17259
DB00107,A17260
DB00107,A17261
DB00107,A17262
DB00107,A17263
DB00107,A228593
DB00108,A2146
DB00108,A2147
DB00108,A2149
DB00108,A2151
DB00108,A9
DB00108,A201866
DB00108,A201869
DB00109,A1713
DB00109,A1715
DB00109,A2153
DB00109,A2155
DB00109,A2157
DB00110,A2159
DB00110,A2160
DB00110,A2162
DB00110,A201875
DB00111,A2165
DB00111,A2167
DB00111,A2037
DB00111,A2168
DB00111,A2170
DB00111,A2173
DB00111,A9
DB00111,A13337
DB00111,A1948
DB00111,A13338
DB00111,A13339
DB00111,A13340
DB00111,A13331
DB00111,A13332
DB00111,A13333
DB00111,A13334
DB00111,A13335
DB00111,A1713
DB00111,A1715
DB00111,A13336
DB00112,A9
DB00112,A13437
DB00112,A192828
DB00112,A202856
DB00113,A2175
DB00113,A2177
DB00114,A6727
DB00114,A6728
DB00114,A6729
DB00114,A6730
DB00114,A6731
DB00114,A6732
DB00114,A6733
DB00114,A2179
DB00114,A2181
DB00114,A2183
DB00114,A2185
DB00114,A2186
DB00114,A6734
DB00114,A6735
DB00114,A6736
DB00114,A6737
DB00114,A7210
DB00114,A7211
DB00114,A7212
DB00114,A1991
DB00114,A7213
DB00114,A7214
DB00114,A7215
DB00114,A7216
DB00114,A7217
DB00114,A7218
DB00114,A7219
DB00114,A7220
DB00114,A7221
DB00114,A9
DB00114,A7222
DB00114,A7223
DB00114,A7224
DB00114,A7225
DB00114,A7226
DB00114,A7227
DB00114,A7228
DB00114,A7229
DB00114,A7230
DB00114,A7231
DB00114,A7232
DB00114,A7233
DB00114,A7234
DB00114,A7235
DB00114,A7236
DB00114,A7237
DB00114,A7238
DB00114,A7239
DB00114,A7240
DB00114,A7241
DB00114,A7242
DB00114,A7243
DB00114,A7244
DB00114,A7245
DB00114,A7246
DB00114,A7247
DB00114,A7248
DB00114,A7249
DB00114,A7250
DB00114,A7251
DB00114,A7252
DB00114,A7253
DB00114,A7254
DB00114,A9603
DB00114,A9604
DB00114,A9605
DB00114,A2200
DB00114,A9606
DB00114,A9607
DB00114,A9608
DB00114,A9609
DB00114,A9610
DB00114,A9611
DB00114,A9612
DB00114,A9613
DB00114,A9614
DB00114,A9615
DB00114,A9616
DB00114,A9617
DB00114,A9618
DB00114,A9619
DB00114,A9620
DB00114,A4152
DB00114,A9621
DB00114,A9622
DB00114,A9623
DB00114,A9624
DB00114,A9625
DB00114,A9626
DB00114,A9627
DB00114,A9628
DB00114,A9629
DB00114,A9630
DB00114,A9631
DB00114,A9632
DB00114,A9633
DB00114,A9634
DB00114,A9635
DB00114,A9636
DB00114,A9637
DB00114,A9638
DB00114,A62878
DB00114,A203051
